english,arabic_romanization,hebrew_romanization
rough,ḵašin,ashún
rule,malak,mélekh
rule,sulṭān,shiltón
run,rakaḍa,rats
sailor,mallāḥ,malákh
salt,milḥ,mélakh
sandwich,sandawitš,séndvich
scale,sullam,sulam
school,kulliyya,mikhlalá
scream,ṣaraḵa,tsarách
script,kataba,katáv
sea,yamm,yam
second,ṯāniya,sh'niyá
see,raʔā,ra'ah
see,raʔy,ra'ah
seed,zaraʕa,zéra'
sense,ḥassa,khash
serve,ʕabada,'avád
seven,sabʕa,sheva
seven,sabʕa,shiv'a
severe,ḵašuna,ashún
shade,ẓill,tzel
shade,ẓill,hetsél
shadow,ẓill,tzel
shake,zaʕzaʕa,zi'zéa'
shape,ṣūra,tsurá
shape,ṣawwara,tsurá
sharp,ḥādd,ḥad
she,hiya,hi
sheep,ḍaʔn,tsón
sheep,šāʔ,se
shine,baraqa,baráq
shine,nawwara,nur
ship,safīna,sfiná
shoe,naʕl,náal
shop,ḥānūt,khanút
short,qaṣīr,katsár
shout,ṣaraḵa,tsarách
shout,zaʕaqa,za'ák
show,ʔarā,her'á
shower,maṭra,matár
shower,maṭara,matár
side,ḍalaʕa,tséla'
sight,raʔy,r'í
sign,ʔāya,ot
sign,ramz,ramáz
silence,sukūt,shéket
simple,basīṭ,pashút
sister,ʔuḵt,akhót
six,sitta,shesh
six,sitta,shisha
skin,bašar,basár
sky,samāʔ,šamáyim
sky,samāwāt,šamáyim
slave,ʕabd,éved
slave,ʔama,amá
sleep,nāma,nám
sleep,nawm,nám
sleep,sina,sheiná
sleep,manām,nám
small,daqīq,dak
snake,ḥanaš,nakhásh
snow,ṯalj,shéleg
so,ʔiḏan,az
so,ʔiḏ,az
sock,jawrab,gérev
soft,raqīq,rach
soil,ʔarḍ,érets
son,ibn,ben
soul,rūḥ,rúakh
soul,nafs,néfesh
space,maqām,makóm
spicy,ḥār,kharíf
spicy,ḥirrīf,kharíf
spider,ʕankabūt,akavísh
spirit,rūḥ,rúakh
spiritual,rūḥāniyy,rukhaní
spot,maqām,makóm
spread,zaraʕa,zará'
spring,ʕayn,'áyin
spring,maʕīn,'áyin
spring,maʕīn,ma'ayán
stadium,ʔistād,itstadyón
staff,sabuṭa,shévet
star,kawkab,kokháv
station,maqām,makóm
steel,fūlāḏ,pladah
stomach,baṭn,béten
store,ḥānūt,khanút
storm,ʕāṣifa,sufá
string,watar,yéter
strong,ḥādd,khad-
strong,ḵašuna,khasón
student,tilmīḏ,talmíd
student,tilmīḏa,talmíd
succeed,ʔaṣlaḥa,hitzlíaḥ
sugar,sukkar,
sun,šams,shémesh
sun,aš-šams,shémesh
surface,saṭḥ,shétakh
tablet,lawḥ,lúakh
tail,ḏanab,zanáv
take,ʔaḵaḏa,akház
tape,šarīṭ,séret
taste,ṭaʕm,tá'am
tear,damʕ,dim'á
tear,damʕa,dim'á
telephone,tilifūn,télefon
television,tilfāz,
television,tilifizyūn,
that,kay,ki
the,al-,ha-
then,ʔiḏan,az
then,ʔiḏ,az
they,hum,hem
they,hunna,hen
thin,daqīq,daq
think,ḥassab,khasháv
thirsty,ẓāmiʔ,tsamé
thirsty,ẓamiʔa,tsamé
this,hāḏā,ze
this,hāḏā,zot
this,hāḏihi,ze
this,hāḏihi,zot
this,hāḏāni,ze
this,hāḏāni,zot
this,hātāni,ze
this,hātāni,zot
this,hāʔulāʔi,ze
this,hāʔulāʔi,zot
thousand,ʔalf,élef
three,ṯalāṯa,shalosh
three,ṯalāṯa,shlosha
three,ṯalāṯ,shalosh
three,ṯalāṯ,shlosha
till,ḥattā,ad
time,zamān,zman
time,rajila,régel
to,li,l-
to,ʔilā,el
to,ḥattā,
tongue,lisān,lashón
tooth,sinn,shen
tower,ṣaraḥa,ts'ríakh
town,qarya,kiryá
town,qarya,qeret
track,sabīl,shvil
translate,tarjama,tirgem
tube,ʔunbūb,abúv
tune,naḡm,ne'imá
tv,tilifizyūn,televizia
tv,tilfāz,televizia
twenty,ʕišrūna,esrím
twin,tawʔam,
two,iṯnāni,
two,iṯnatāni,
two,ṯintāni,
two,itnēn,
under,taḥta,tákhat
until,ḥattā,ad
version,nusḵa,nusákh
victim,qurbān,korbán
video,fīdiyū,víde'o
view,raʔy,r'út
view,raʔy,r'í
village,kafr,kfar
vision,raʔy,r'út
wall,jidār,gadér
wall,jadura,gadér
warm,ḥamīm,khamím
warm,ḥamīm,kham
warm,ḥamīm,khamá
wash,raḥaḍa,rakháts
water,māʔ,máyim
water,miyāh,máyim
water,saqā,hishká
water,ʔasqā,hishká
water,māha,máyim
way,ṭarīq,derekh
we,naḥnu,anákhnu
wear,labisa,lavásh
well,,tov
well,biʔr,b'er
west,maḡrib,ma'aráv
wet,raṭb,ratóv
wet,raṭb,retuvá
what,mā,ma
what,š-,she
when,matā,matay
where,"ʔayna, ʔayn",'ána
whole,kull,
whole,kull,
whole,kull,kól
whole,tamām,tam
why,limāḏā,láma zé
wide,raḥiba,rakháv
will,waṣiyya,mitsvá
will,ʔabā,ava
wine,ḵamr,khémer
wing,kanaf,kanáf
winter,šitāʔ,s'táv
wire,tiliḡrāf,télegraf
wise,ḥakīm,khakhám
with,maʕa,ím / ʕím
with,bi-,b'-
with,fī,b'-
without,bilā,b'ló
witness,šahīd,sahéd
work,ʕamal,amál
world,ʕālam,olám
write,kataba,katáv
write,safar,séfer
write,sāfara,séfer
write,kitāb,katáv
writer,kātib,kotév
writer,sāfara,sofér
writing,safar,séfer
writing,kitāb,ktav
writing,kataba,ktav
year,sanawāt,shaná
year,sana,shaná
yesterday,ʔams,'émesh
you,-ka,-'khá
you,ʔanta,otkhá
you,ʔanta,'atá
you,ʔanta,
you,ʔanta,etkhém
you,ʔanta,attém
you,ʔanta,attén
you,ʔantum,attém
you,ʔantunna,attén
young,ṣaḡīr,tsa'ir
your,-k,-kha
